STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Himachal Pradesh,2013,KIDNAPPING AND ABDUCTION,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Himachal Pradesh,2013,DACOITY,0,0,0,14,0,14,7,0,7,0,0,0,21,0,21
Himachal Pradesh,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,ROBBERY,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Himachal Pradesh,2013,BURGLARY,0,0,0,2,0,2,6,0,6,1,0,1,9,0,9
Himachal Pradesh,2013,THEFTS,0,0,0,16,1,17,6,0,6,0,0,0,22,1,23
Himachal Pradesh,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Himachal Pradesh,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,DOWRY DEATHS,0,0,0,1,0,1,2,0,2,0,0,0,3,0,3
Himachal Pradesh,2013,MOLESTATION,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Himachal Pradesh,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,1,0,1,9,1,10,3,1,4,13,2,15
Himachal Pradesh,2013,OTHER IPC CRIMES,0,0,0,13,3,16,38,1,39,12,0,12,63,4,67
Himachal Pradesh,2013,TOTAL IPC,0,0,0,217,5,222,356,19,375,135,8,143,708,32,740
Jammu and Kashmir,2013,MURDER,0,0,0,22,0,22,114,3,117,35,7,42,171,10,181
Jammu and Kashmir,2013,ATTEMPT TO COMMIT MURDER,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2
Jammu and Kashmir,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,3,0,3,8,0,8,0,0,0,11,0,11
Jammu and Kashmir,2013,RAPE,0,0,0,15,0,15,40,0,40,4,0,4,59,0,59
Jammu and Kashmir,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Jammu and Kashmir,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,ROBBERY,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Jammu and Kashmir,2013,BURGLARY,0,0,0,4,0,4,4,0,4,0,0,0,8,0,8
Jammu and Kashmir,2013,THEFTS,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
Jammu and Kashmir,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,CHEATING,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Jammu and Kashmir,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,MOLESTATION,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Jammu and Kashmir,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,1,0,1,2,0,2,1,0,1,4,0,4
Jammu and Kashmir,2013,OTHER IPC CRIMES,0,0,0,1,0,1,3,0,3,0,0,0,4,0,4
Jammu and Kashmir,2013,TOTAL IPC,0,0,0,50,0,50,177,3,180,41,7,48,268,10,278
Jharkhand,2013,MURDER,0,0,0,608,12,620,1398,46,1444,321,18,339,2327,76,2403
Jharkhand,2013,ATTEMPT TO COMMIT MURDER,0,0,0,36,0,36,67,2,69,62,0,62,165,2,167
Jharkhand,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,7,0,7,19,1,20,5,0,5,31,1,32
Jharkhand,2013,RAPE,0,0,0,82,0,82,101,1,102,14,0,14,197,1,198
Jharkhand,2013,KIDNAPPING AND ABDUCTION,0,0,0,27,1,28,58,0,58,24,0,24,109,1,110
Jharkhand,2013,DACOITY,0,0,0,55,0,55,78,0,78,14,0,14,147,0,147
Jharkhand,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,7,0,7,8,0,8,0,0,0,15,0,15
Jharkhand,2013,ROBBERY,0,0,0,19,0,19,46,0,46,19,0,19,84,0,84
Jharkhand,2013,BURGLARY,0,0,0,5,0,5,3,0,3,1,0,1,9,0,9
Jharkhand,2013,THEFTS,0,0,0,47,0,47,83,1,84,14,0,14,144,1,145
Jharkhand,2013,EXTORTION,0,0,0,11,0,11,25,0,25,0,0,0,36,0,36
Jharkhand,2013,RIOTS,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Jharkhand,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2013,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,10,0,10,0,0,0,11,0,11
Jharkhand,2013,CHEATING,0,0,0,6,0,6,33,0,33,0,0,0,39,0,39
Jharkhand,2013,COUNTER FEITING,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Jharkhand,2013,DOWRY DEATHS,0,0,0,65,13,78,135,38,173,90,11,101,290,62,352
Jharkhand,2013,MOLESTATION,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Jharkhand,2013,EVE-TEASING,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Jharkhand,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,15,2,17,41,2,43,17,2,19,73,6,79
Jharkhand,2013,OTHER IPC CRIMES,0,0,0,1,0,1,3,0,3,0,0,0,4,0,4
Jharkhand,2013,TOTAL IPC,0,0,0,993,28,1021,2111,92,2203,581,31,612,3685,151,3836
Karnataka,2013,MURDER,0,0,0,1249,84,1333,1476,68,1544,109,5,114,2834,157,2991
Karnataka,2013,ATTEMPT TO COMMIT MURDER,0,0,0,119,2,121,103,0,103,3,0,3,225,2,227
Karnataka,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,9,0,9,47,0,47,1,0,1,57,0,57
Karnataka,2013,RAPE,0,0,0,79,0,79,48,0,48,0,0,0,127,0,127
Karnataka,2013,KIDNAPPING AND ABDUCTION,0,0,0,43,0,43,21,0,21,0,0,0,64,0,64
Karnataka,2013,DACOITY,0,0,0,37,0,37,67,0,67,0,0,0,104,0,104
Karnataka,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,6,0,6,11,0,11,0,0,0,17,0,17
Karnataka,2013,ROBBERY,0,0,0,66,0,66,29,0,29,1,0,1,96,0,96
Karnataka,2013,BURGLARY,0,0,0,37,0,37,43,0,43,1,0,1,81,0,81
Karnataka,2013,THEFTS,0,0,0,109,3,112,47,19,66,4,0,4,160,22,182
Karnataka,2013,EXTORTION,0,0,0,3,0,3,5,0,5,0,0,0,8,0,8
Karnataka,2013,RIOTS,0,0,0,13,0,13,9,0,9,2,0,2,24,0,24
Karnataka,2013,ARSON,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
Karnataka,2013,CRIMINAL BREACH OF TRUST,0,0,0,4,0,4,6,0,6,0,0,0,10,0,10
Karnataka,2013,CHEATING,0,0,0,31,1,32,49,4,53,3,0,3,83,5,88
Karnataka,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2013,DOWRY DEATHS,0,0,0,31,1,32,76,3,79,6,2,8,113,6,119
Karnataka,2013,MOLESTATION,0,0,0,1,0,1,7,0,7,1,0,1,9,0,9
Karnataka,2013,EVE-TEASING,0,0,0,3,0,3,2,0,2,0,0,0,5,0,5
Karnataka,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,7,0,7,16,2,18,1,1,2,24,3,27
Karnataka,2013,OTHER IPC CRIMES,0,0,0,0,1,1,1,1,2,1,0,1,2,2,4
Karnataka,2013,TOTAL IPC,0,0,0,1849,92,1941,2065,97,2162,133,8,141,4047,197,4244
Kerala,2013,MURDER,0,0,0,225,4,229,504,24,528,527,5,532,1256,33,1289
Kerala,2013,ATTEMPT TO COMMIT MURDER,0,0,0,60,0,60,82,0,82,36,0,36,178,0,178
Kerala,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,12,3,15,45,0,45,0,0,0,57,3,60
Kerala,2013,RAPE,0,0,0,6,0,6,4,0,4,2,0,2,12,0,12
Kerala,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6
Kerala,2013,DACOITY,0,0,0,12,0,12,20,0,20,2,0,2,34,0,34
Kerala,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,12,0,12,24,0,24,2,0,2,38,0,38
Kerala,2013,ROBBERY,0,0,0,47,4,51,52,0,52,17,0,17,116,4,120
Kerala,2013,BURGLARY,0,0,0,35,0,35,40,0,40,5,0,5,80,0,80
Kerala,2013,THEFTS,0,0,0,72,1,73,82,0,82,43,0,43,197,1,198
Kerala,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2013,RIOTS,0,0,0,22,0,22,12,0,12,4,0,4,38,0,38
Kerala,2013,ARSON,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
Kerala,2013,CRIMINAL BREACH OF TRUST,0,0,0,10,0,10,23,0,23,15,0,15,48,0,48
Kerala,2013,CHEATING,0,0,0,8,0,8,18,0,18,4,0,4,30,0,30
Kerala,2013,COUNTER FEITING,0,0,0,0,0,0,4,0,4,2,0,2,6,0,6
