STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Meghalaya,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,COUNTER FEITING,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Meghalaya,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,OTHER IPC CRIMES,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Meghalaya,2013,TOTAL IPC,0,0,0,31,0,31,23,0,23,4,0,4,58,0,58
Mizoram,2013,MURDER,0,0,0,24,0,24,29,0,29,9,0,9,62,0,62
Mizoram,2013,ATTEMPT TO COMMIT MURDER,0,0,0,3,0,3,1,0,1,0,0,0,4,0,4
Mizoram,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6
Mizoram,2013,RAPE,0,0,0,30,0,30,52,0,52,13,0,13,95,0,95
Mizoram,2013,KIDNAPPING AND ABDUCTION,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Mizoram,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,BURGLARY,NA,0,0,15,0,15,9,0,9,0,0,0,24,0,24
Mizoram,2013,THEFTS,0,0,0,55,0,55,50,0,50,2,0,2,107,0,107
Mizoram,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Mizoram,2013,CHEATING,0,0,0,1,0,1,2,0,2,0,0,0,3,0,3
Mizoram,2013,COUNTER FEITING,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Mizoram,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,MOLESTATION,0,0,0,2,0,2,3,0,3,0,0,0,5,0,5
Mizoram,2013,EVE-TEASING,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Mizoram,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,OTHER IPC CRIMES,0,0,0,8,0,8,19,0,19,1,0,1,28,0,28
Mizoram,2013,TOTAL IPC,0,0,0,144,0,144,170,0,170,25,0,25,339,0,339
Nagaland,2013,MURDER,0,0,0,11,0,11,27,2,29,5,0,5,43,2,45
Nagaland,2013,ATTEMPT TO COMMIT MURDER,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Nagaland,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,RAPE,0,0,0,8,0,8,6,0,6,0,0,0,14,0,14
Nagaland,2013,KIDNAPPING AND ABDUCTION,0,0,0,5,0,5,2,0,2,0,0,0,7,0,7
Nagaland,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,ROBBERY,0,0,0,6,0,6,2,0,2,0,0,0,8,0,8
Nagaland,2013,BURGLARY,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
Nagaland,2013,THEFTS,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9
Nagaland,2013,EXTORTION,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Nagaland,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,MOLESTATION,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Nagaland,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,OTHER IPC CRIMES,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Nagaland,2013,TOTAL IPC,0,0,0,47,0,47,37,2,39,5,0,5,89,2,91
Orissa,2013,MURDER,0,0,0,631,7,638,849,7,856,410,19,429,1890,33,1923
Orissa,2013,ATTEMPT TO COMMIT MURDER,0,0,0,134,3,137,150,42,192,77,5,82,361,50,411
Orissa,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,94,2,96,45,5,50,23,3,26,162,10,172
Orissa,2013,RAPE,0,0,0,136,0,136,45,0,45,10,0,10,191,0,191
Orissa,2013,KIDNAPPING AND ABDUCTION,0,0,0,12,0,12,12,0,12,8,0,8,32,0,32
Orissa,2013,DACOITY,0,0,0,104,0,104,47,0,47,5,0,5,156,0,156
Orissa,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orissa,2013,ROBBERY,0,0,0,34,0,34,18,0,18,0,0,0,52,0,52
Orissa,2013,BURGLARY,0,0,0,46,0,46,21,0,21,7,0,7,74,0,74
Orissa,2013,THEFTS,0,0,0,80,0,80,40,0,40,10,0,10,130,0,130
Orissa,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orissa,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orissa,2013,ARSON,0,0,0,8,0,8,1,0,1,2,0,2,11,0,11
Orissa,2013,CRIMINAL BREACH OF TRUST,0,0,0,9,0,9,10,0,10,3,0,3,22,0,22
Orissa,2013,CHEATING,0,0,0,10,0,10,3,0,3,2,0,2,15,0,15
Orissa,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orissa,2013,DOWRY DEATHS,0,0,0,3,0,3,20,3,23,5,0,5,28,3,31
Orissa,2013,MOLESTATION,0,0,0,5,0,5,5,0,5,3,0,3,13,0,13
Orissa,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orissa,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,24,2,26,10,2,12,8,0,8,42,4,46
Orissa,2013,OTHER IPC CRIMES,0,0,0,20,0,20,33,0,33,8,0,8,61,0,61
Orissa,2013,TOTAL IPC,0,0,0,1350,14,1364,1309,59,1368,581,27,608,3240,100,3340
Pondicherry,2013,MURDER,0,0,0,7,0,7,46,1,47,11,1,12,64,2,66
Pondicherry,2013,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Pondicherry,2013,RAPE,0,0,0,0,0,0,2,0,2,1,0,1,3,0,3
Pondicherry,2013,KIDNAPPING AND ABDUCTION,0,0,0,1,0,1,2,0,2,1,0,1,4,0,4
Pondicherry,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,BURGLARY,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Pondicherry,2013,THEFTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,COUNTER FEITING,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Pondicherry,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Pondicherry,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,2013,OTHER IPC CRIMES,0,0,0,2,0,2,6,0,6,0,0,0,8,0,8
Pondicherry,2013,TOTAL IPC,0,0,0,11,0,11,60,1,61,14,1,15,85,2,87
Punjab,2013,MURDER,0,0,0,585,29,614,921,28,949,495,29,524,2001,86,2087
Punjab,2013,ATTEMPT TO COMMIT MURDER,0,0,0,221,19,240,387,5,392,104,5,109,712,29,741
Punjab,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,76,13,89,91,7,98,42,6,48,209,26,235
Punjab,2013,RAPE,0,0,0,113,8,121,195,9,204,72,4,76,380,21,401
Punjab,2013,KIDNAPPING AND ABDUCTION,0,0,0,93,1,94,88,5,93,36,7,43,217,13,230
Punjab,2013,DACOITY,0,0,0,47,0,47,93,2,95,9,1,10,149,3,152
Punjab,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,38,0,38,39,1,40,5,1,6,82,2,84
Punjab,2013,ROBBERY,0,0,0,62,1,63,69,1,70,21,2,23,152,4,156
Punjab,2013,BURGLARY,0,0,0,70,0,70,29,0,29,14,0,14,113,0,113
Punjab,2013,THEFTS,0,0,0,140,27,167,187,4,191,55,0,55,382,31,413
Punjab,2013,EXTORTION,0,0,0,12,0,12,22,0,22,6,0,6,40,0,40
Punjab,2013,RIOTS,0,0,0,30,1,31,21,1,22,3,0,3,54,2,56
Punjab,2013,ARSON,0,0,0,6,0,6,15,0,15,7,0,7,28,0,28
Punjab,2013,CRIMINAL BREACH OF TRUST,0,0,0,26,0,26,35,0,35,16,0,16,77,0,77
Punjab,2013,CHEATING,0,0,0,26,11,37,107,3,110,38,0,38,171,14,185
Punjab,2013,COUNTER FEITING,0,0,0,24,0,24,37,1,38,9,1,10,70,2,72
Punjab,2013,DOWRY DEATHS,0,0,0,155,37,192,183,21,204,57,5,62,395,63,458
Punjab,2013,MOLESTATION,0,0,0,33,0,33,17,0,17,4,0,4,54,0,54
Punjab,2013,EVE-TEASING,0,0,0,8,0,8,6,0,6,3,0,3,17,0,17
Punjab,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,63,7,70,81,6,87,26,0,26,170,13,183
Punjab,2013,OTHER IPC CRIMES,0,0,0,28,1,29,49,3,52,20,3,23,97,7,104
Punjab,2013,TOTAL IPC,0,0,0,1856,155,2011,2672,97,2769,1042,64,1106,5570,316,5886
Rajasthan,2013,MURDER,0,0,0,845,21,866,1679,107,1786,584,45,629,3108,173,3281
Rajasthan,2013,ATTEMPT TO COMMIT MURDER,0,0,0,109,0,109,131,0,131,40,0,40,280,0,280
Rajasthan,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,46,0,46,87,0,87,34,0,34,167,0,167
Rajasthan,2013,RAPE,0,0,0,198,0,198,184,9,193,43,4,47,425,13,438
Rajasthan,2013,KIDNAPPING AND ABDUCTION,0,0,0,66,0,66,62,0,62,19,1,20,147,1,148
Rajasthan,2013,DACOITY,0,0,0,56,0,56,42,0,42,12,0,12,110,0,110
Rajasthan,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,52,0,52,21,0,21,8,0,8,81,0,81
Rajasthan,2013,ROBBERY,0,0,0,33,0,33,65,0,65,8,0,8,106,0,106
Rajasthan,2013,BURGLARY,0,0,0,33,0,33,22,0,22,5,0,5,60,0,60
Rajasthan,2013,THEFTS,0,0,0,67,2,69,105,0,105,15,0,15,187,2,189
Rajasthan,2013,EXTORTION,0,0,0,8,0,8,7,0,7,0,0,0,15,0,15
Rajasthan,2013,RIOTS,0,0,0,9,0,9,7,0,7,0,0,0,16,0,16
Rajasthan,2013,ARSON,0,0,0,15,0,15,5,0,5,1,0,1,21,0,21
Rajasthan,2013,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Rajasthan,2013,CHEATING,0,0,0,34,0,34,27,0,27,5,0,5,66,0,66
Rajasthan,2013,COUNTER FEITING,0,0,0,7,0,7,4,0,4,0,0,0,11,0,11
Rajasthan,2013,DOWRY DEATHS,0,0,0,59,0,59,68,15,83,40,5,45,167,20,187
Rajasthan,2013,MOLESTATION,0,0,0,3,0,3,13,0,13,1,0,1,17,0,17
Rajasthan,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,6,0,6,16,0,16,0,2,2,22,2,24
Rajasthan,2013,OTHER IPC CRIMES,0,0,0,41,0,41,34,0,34,26,0,26,101,0,101
Rajasthan,2013,TOTAL IPC,0,0,0,1688,23,1711,2579,131,2710,841,57,898,5108,211,5319
Sikkim,2013,MURDER,0,0,0,1,1,2,29,0,29,5,0,5,35,1,36
Sikkim,2013,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,5,0,5,1,0,1,6,0,6
Sikkim,2013,RAPE,0,0,0,5,0,5,20,0,20,0,0,0,25,0,25
Sikkim,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Sikkim,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,BURGLARY,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
Sikkim,2013,THEFTS,0,0,0,1,0,1,8,0,8,0,0,0,9,0,9
Sikkim,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,CHEATING,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Sikkim,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,MOLESTATION,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6
Sikkim,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Sikkim,2013,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,TOTAL IPC,0,0,0,11,1,12,75,0,75,6,0,6,92,1,93
Tamilnadu,2013,MURDER,0,0,0,698,21,719,1552,91,1643,348,28,376,2598,140,2738
Tamilnadu,2013,ATTEMPT TO COMMIT MURDER,0,0,0,74,3,77,287,3,290,62,0,62,423,6,429
Tamilnadu,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,3,0,3,14,1,15,16,3,19,33,4,37
Tamilnadu,2013,RAPE,0,0,0,25,0,25,64,0,64,10,0,10,99,0,99
Tamilnadu,2013,KIDNAPPING AND ABDUCTION,0,0,0,51,0,51,136,2,138,32,0,32,219,2,221
Tamilnadu,2013,DACOITY,0,0,0,27,0,27,100,1,101,20,0,20,147,1,148
Tamilnadu,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,2,0,2,0,0,0,4,0,4,6,0,6
Tamilnadu,2013,ROBBERY,0,0,0,83,0,83,81,1,82,31,0,31,195,1,196
Tamilnadu,2013,BURGLARY,0,0,0,9,0,9,51,0,51,25,0,25,85,0,85
Tamilnadu,2013,THEFTS,0,0,0,63,0,63,127,0,127,44,0,44,234,0,234
Tamilnadu,2013,EXTORTION,0,0,0,0,0,0,2,0,2,8,0,8,10,0,10
Tamilnadu,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamilnadu,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamilnadu,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,9,0,9,0,0,0,9,0,9
Tamilnadu,2013,CHEATING,0,0,0,20,0,20,7,0,7,11,0,11,38,0,38
Tamilnadu,2013,COUNTER FEITING,0,0,0,3,0,3,9,0,9,0,0,0,12,0,12
Tamilnadu,2013,DOWRY DEATHS,0,0,0,4,0,4,28,1,29,2,0,2,34,1,35
Tamilnadu,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamilnadu,2013,EVE-TEASING,0,0,0,8,0,8,5,0,5,0,0,0,13,0,13
Tamilnadu,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,5,0,5,75,0,75,8,0,8,88,0,88
Tamilnadu,2013,OTHER IPC CRIMES,0,0,0,2,0,2,0,1,1,2,0,2,4,1,5
Tamilnadu,2013,TOTAL IPC,0,0,0,1077,24,1101,2547,101,2648,623,31,654,4247,156,4403
Tripura,2013,MURDER,0,0,0,40,1,41,149,5,154,43,1,44,232,7,239
Tripura,2013,ATTEMPT TO COMMIT MURDER,0,0,0,1,0,1,2,0,2,2,0,2,5,0,5
Tripura,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,11,0,11,6,1,7,4,0,4,21,1,22
Tripura,2013,RAPE,0,0,0,37,1,38,56,0,56,3,0,3,96,1,97
Tripura,2013,KIDNAPPING AND ABDUCTION,0,0,0,7,0,7,5,0,5,1,1,2,13,1,14
Tripura,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2013,ROBBERY,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Tripura,2013,BURGLARY,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Tripura,2013,THEFTS,0,0,0,13,0,13,10,0,10,1,0,1,24,0,24
Tripura,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2013,RIOTS,0,0,0,2,0,2,5,0,5,0,0,0,7,0,7
Tripura,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2013,CHEATING,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
Tripura,2013,COUNTER FEITING,0,0,0,5,0,5,3,0,3,0,2,2,8,2,10
Tripura,2013,DOWRY DEATHS,0,0,0,8,0,8,18,0,18,3,2,5,29,2,31
Tripura,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
Tripura,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,5,0,5,8,0,8,0,0,0,13,0,13
Tripura,2013,OTHER IPC CRIMES,0,0,0,6,0,6,18,0,18,2,0,2,26,0,26
Tripura,2013,TOTAL IPC,0,0,0,139,2,141,283,6,289,62,6,68,484,14,498
Uttar Pradesh,2013,MURDER,0,0,0,1910,81,1991,7364,170,7534,4592,94,4686,13866,345,14211
Uttar Pradesh,2013,ATTEMPT TO COMMIT MURDER,0,0,0,400,2,402,606,10,616,293,22,315,1299,34,1333
Uttar Pradesh,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,284,12,296,454,30,484,239,12,251,977,54,1031
Uttar Pradesh,2013,RAPE,0,0,0,686,2,688,685,5,690,235,8,243,1606,15,1621
Uttar Pradesh,2013,KIDNAPPING AND ABDUCTION,0,0,0,213,6,219,364,16,380,105,6,111,682,28,710
Uttar Pradesh,2013,DACOITY,0,0,0,93,0,93,175,0,175,81,0,81,349,0,349
Uttar Pradesh,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,28,0,28,33,0,33,14,0,14,75,0,75
Uttar Pradesh,2013,ROBBERY,0,0,0,110,0,110,160,1,161,51,0,51,321,1,322
Uttar Pradesh,2013,BURGLARY,0,0,0,23,0,23,42,0,42,18,0,18,83,0,83
Uttar Pradesh,2013,THEFTS,0,0,0,257,1,258,202,3,205,57,0,57,516,4,520
Uttar Pradesh,2013,EXTORTION,0,0,0,14,0,14,11,0,11,1,0,1,26,0,26
Uttar Pradesh,2013,RIOTS,0,0,0,5,0,5,11,0,11,1,0,1,17,0,17
Uttar Pradesh,2013,ARSON,0,0,0,3,0,3,6,0,6,3,0,3,12,0,12
Uttar Pradesh,2013,CRIMINAL BREACH OF TRUST,0,0,0,4,0,4,33,0,33,18,0,18,55,0,55
Uttar Pradesh,2013,CHEATING,0,0,0,17,1,18,21,0,21,8,0,8,46,1,47
Uttar Pradesh,2013,COUNTER FEITING,0,0,0,23,0,23,38,0,38,10,0,10,71,0,71
Uttar Pradesh,2013,DOWRY DEATHS,0,0,0,513,73,586,842,157,999,364,178,542,1719,408,2127
Uttar Pradesh,2013,MOLESTATION,0,0,0,36,0,36,21,0,21,16,0,16,73,0,73
Uttar Pradesh,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,48,0,48,45,11,56,20,3,23,113,14,127
Uttar Pradesh,2013,OTHER IPC CRIMES,0,0,0,123,1,124,171,9,180,61,4,65,355,14,369
Uttar Pradesh,2013,TOTAL IPC,0,0,0,4790,179,4969,11284,412,11696,6187,327,6514,22261,918,23179
Uttaranchal,2013,MURDER,0,0,0,205,2,207,376,16,392,130,4,134,711,22,733
Uttaranchal,2013,ATTEMPT TO COMMIT MURDER,0,0,0,68,0,68,89,2,91,42,0,42,199,2,201
Uttaranchal,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,33,0,33,30,3,33,32,0,32,95,3,98
Uttaranchal,2013,RAPE,0,0,0,57,0,57,36,0,36,10,0,10,103,0,103
Uttaranchal,2013,KIDNAPPING AND ABDUCTION,0,0,0,4,0,4,23,1,24,12,0,12,39,1,40
Uttaranchal,2013,DACOITY,0,0,0,9,0,9,24,0,24,16,0,16,49,0,49
Uttaranchal,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Uttaranchal,2013,ROBBERY,0,0,0,0,0,0,23,0,23,7,0,7,30,0,30
Uttaranchal,2013,BURGLARY,0,0,0,12,0,12,11,0,11,3,0,3,26,0,26
Uttaranchal,2013,THEFTS,0,0,0,52,0,52,42,4,46,28,0,28,122,4,126
Uttaranchal,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttaranchal,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttaranchal,2013,ARSON,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Uttaranchal,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,1,0,1,4,0,4,5,0,5
Uttaranchal,2013,CHEATING,0,0,0,0,0,0,20,0,20,7,0,7,27,0,27
Uttaranchal,2013,COUNTER FEITING,0,0,0,3,0,3,2,0,2,0,0,0,5,0,5
Uttaranchal,2013,DOWRY DEATHS,0,0,0,30,9,39,21,7,28,26,7,33,77,23,100
Uttaranchal,2013,MOLESTATION,0,0,0,2,0,2,7,0,7,0,0,0,9,0,9
Uttaranchal,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttaranchal,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,24,5,29,3,0,3,0,0,0,27,5,32
Uttaranchal,2013,OTHER IPC CRIMES,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Uttaranchal,2013,TOTAL IPC,0,0,0,506,16,522,708,33,741,317,11,328,1531,60,1591
West Bengal,2013,MURDER,0,0,0,471,46,517,1509,67,1576,558,41,599,2538,154,2692
West Bengal,2013,ATTEMPT TO COMMIT MURDER,0,0,0,54,0,54,65,1,66,21,4,25,140,5,145
West Bengal,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,52,1,53,92,3,95,43,1,44,187,5,192
West Bengal,2013,RAPE,0,0,0,164,0,164,188,0,188,55,0,55,407,0,407
West Bengal,2013,KIDNAPPING AND ABDUCTION,0,0,0,77,8,85,89,9,98,26,4,30,192,21,213
West Bengal,2013,DACOITY,0,0,0,63,1,64,99,0,99,28,0,28,190,1,191
West Bengal,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,16,0,16,30,0,30,11,0,11,57,0,57
West Bengal,2013,ROBBERY,0,0,0,18,0,18,23,0,23,9,0,9,50,0,50
West Bengal,2013,BURGLARY,0,0,0,4,0,4,6,0,6,0,0,0,10,0,10
West Bengal,2013,THEFTS,0,0,0,29,0,29,10,0,10,9,0,9,48,0,48
West Bengal,2013,EXTORTION,0,0,0,1,0,1,2,0,2,1,0,1,4,0,4
West Bengal,2013,RIOTS,0,0,0,9,0,9,9,0,9,9,0,9,27,0,27
West Bengal,2013,ARSON,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2
West Bengal,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
West Bengal,2013,CHEATING,0,0,0,0,0,0,1,0,1,3,0,3,4,0,4
West Bengal,2013,COUNTER FEITING,0,0,0,9,0,9,19,0,19,1,0,1,29,0,29
